                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2513,                 1.4279,                 1.2959,                0.64611,                 0.5718,                0.61583,                0.43782,                 1.0512,                 1.8741,                  1.394,             0.00025722,             0.00025722,             0.00025722
                      1,                0.97567,                 1.0933,                 1.1233,                0.62655,                0.72894,                0.73629,                0.47221,                 1.3275,                 1.9641,                 1.5319,              0.0005235,              0.0005235,              0.0005235
                      2,                0.88627,                0.95445,                  1.087,                0.55425,                0.72232,                0.70589,                0.45663,                 1.1236,                 1.5476,                 1.4576,              0.0007844,              0.0007844,              0.0007844
                      3,                0.88275,                0.90607,                 1.0668,                0.65335,                0.54633,                0.65507,                0.33868,                 1.5665,                 1.8372,                 1.8348,              0.0010399,              0.0010399,              0.0010399
                      4,                0.89212,                0.93612,                 1.0977,                0.57731,                0.44365,                0.52457,                0.36836,                 1.1949,                 2.0501,                 1.4899,              0.0012901,              0.0012901,              0.0012901
                      5,                0.83243,                0.90237,                 1.0558,                0.57607,                0.64932,                0.61683,                0.38688,                 1.2656,                 1.9203,                 1.6263,              0.0013583,              0.0013583,              0.0013583
                      6,                0.88722,                0.91374,                 1.1027,                0.64609,                0.39705,                0.54609,                  0.321,                 1.6564,                 2.1877,                 1.8449,              0.0013583,              0.0013583,              0.0013583
                      7,                0.84969,                0.84858,                 1.0583,                 0.6143,                0.57261,                0.61039,                0.39969,                 1.4573,                 2.0299,                 1.7154,              0.0013441,              0.0013441,              0.0013441
                      8,                0.82835,                0.83775,                  1.076,                0.60899,                0.62288,                0.60651,                0.39707,                 1.2747,                 1.9754,                 1.6494,                0.00133,                0.00133,                0.00133
                      9,                0.86586,                0.84323,                  1.075,                0.68314,                0.48166,                0.59306,                0.33166,                 1.5559,                 2.0395,                 1.8373,              0.0013158,              0.0013158,              0.0013158
                     10,                0.89186,                0.83506,                 1.0987,                0.68489,                0.48564,                0.57709,                0.31245,                 1.6675,                 1.6958,                 1.9173,              0.0013017,              0.0013017,              0.0013017
                     11,                0.83461,                0.79738,                 1.0794,                0.43628,                0.43008,                0.47434,                0.27325,                 1.5926,                 1.9564,                 1.8459,              0.0012875,              0.0012875,              0.0012875
                     12,                0.82918,                0.79762,                 1.0661,                0.50148,                0.63834,                0.56052,                0.36885,                 1.0984,                  1.588,                 1.4354,              0.0012734,              0.0012734,              0.0012734
                     13,                0.82285,                 0.7807,                  1.069,                0.61175,                0.67611,                0.70288,                0.46795,                 1.2536,                 1.3125,                 1.6257,              0.0012592,              0.0012592,              0.0012592
                     14,                0.88805,                0.79552,                 1.1009,                0.64625,                0.77319,                0.79677,                0.43731,                 1.4408,                 1.2857,                 1.7174,              0.0012451,              0.0012451,              0.0012451
                     15,                0.81291,                0.71776,                 1.0563,                0.71468,                0.64049,                0.67853,                0.48043,                 1.0786,                 1.9208,                 1.4273,              0.0012309,              0.0012309,              0.0012309
                     16,                 0.7783,                 0.7098,                 1.0413,                0.78588,                0.73909,                0.75335,                0.45078,                 1.3971,                 1.4667,                 1.6301,              0.0012168,              0.0012168,              0.0012168
                     17,                0.79136,                0.72253,                 1.0572,                0.31793,                0.62495,                 0.5199,                0.36623,                 1.1362,                 1.7333,                 1.5018,              0.0012026,              0.0012026,              0.0012026
                     18,                0.79181,                 0.7175,                 1.0532,                0.55968,                0.67438,                0.58646,                0.40518,                 1.2218,                 1.5684,                 1.5477,              0.0011885,              0.0011885,              0.0011885
                     19,                0.82452,                0.74676,                 1.0613,                0.36204,                0.58995,                 0.4971,                 0.3166,                 1.3533,                 1.8691,                 1.6411,              0.0011744,              0.0011744,              0.0011744
                     20,                0.76662,                0.69334,                 1.0464,                0.72945,                0.50408,                0.62823,                0.44129,                 1.1761,                 1.3139,                 1.4817,              0.0011602,              0.0011602,              0.0011602
                     21,                0.75686,                0.66934,                 1.0167,                0.68323,                0.69541,                0.67158,                0.46534,                 1.1274,                 1.3145,                   1.49,              0.0011461,              0.0011461,              0.0011461
                     22,                 0.7837,                0.68138,                 1.0434,                0.81034,                0.62561,                0.71719,                0.42932,                 1.4435,                 1.3401,                 1.7077,              0.0011319,              0.0011319,              0.0011319
                     23,                0.78036,                0.69666,                 1.0452,                0.81513,                0.73788,                0.72668,                0.52248,                 1.0895,                 1.2529,                 1.4401,              0.0011178,              0.0011178,              0.0011178
                     24,                0.74434,                0.66158,                 1.0333,                0.62884,                 0.6729,                0.60833,                0.40506,                 1.2564,                 1.5456,                 1.5429,              0.0011036,              0.0011036,              0.0011036
                     25,                0.80568,                0.73497,                 1.0752,                 0.8077,                 0.7324,                0.59011,                0.38515,                 1.3472,                 1.7389,                  1.656,              0.0010895,              0.0010895,              0.0010895
                     26,                0.71104,                0.63453,                 1.0162,                0.82878,                0.72935,                 0.8283,                0.54231,                 1.2546,                  1.103,                 1.5897,              0.0010753,              0.0010753,              0.0010753
                     27,                0.74855,                 0.6426,                  1.027,                0.85624,                0.77384,                0.88516,                0.55497,                 1.3227,                 1.0704,                 1.6836,              0.0010612,              0.0010612,              0.0010612
                     28,                0.72382,                0.64574,                 1.0118,                0.78835,                0.74474,                0.84386,                0.60128,                 1.1046,                 1.1138,                 1.5016,               0.001047,               0.001047,               0.001047
                     29,                0.71832,                0.63227,                 1.0114,                0.77143,                0.78314,                0.76236,                0.55181,                 1.0486,                 1.2223,                 1.3759,              0.0010329,              0.0010329,              0.0010329
